vendorID,lpepPickupDatetime,passengerCount,tripDistance,pickupLongitude,pickupLatitude,dropoffLongitude,dropoffLatitude,totalAmount
2,1420140185,1,6.35,-73.93864441,40.82151794,-73.91183472,40.86180878,20.8
2,1420140189,1,8.3,-73.87423706,40.73501205,-73.92258453,40.76957321,25.3
2,1420140571,1,1.36,-73.95106506,40.79135895,-73.95947266,40.80131149,9.3
2,1420159856,1,3.13,-73.93726349,40.8045578,-73.94869995,40.83555603,14.3
2,1420159667,1,5.76,-73.9542923,40.73034668,-73.93638611,40.67535782,19.8
2,1420160223,1,2.03,-73.91908264,40.74300385,-73.88490295,40.74393463,9.3
2,1420160371,1,1.2,-73.92150879,40.76675034,-73.90740967,40.76236725,7
2,1420160205,1,1.29,-73.99292755,40.68307877,-74.00662231,40.6770668,8.3
2,1420158809,5,10.99,-73.9436264,40.78937912,-73.92076874,40.6867485,34.3
2,1420160002,1,2.63,-73.92233276,40.75520706,-73.89627838,40.74621582,12.3
2,1420160344,1,1.44,-73.92107391,40.68824387,-73.92292786,40.67107391,8.3
2,1420159972,1,2.82,-73.9908905,40.68917084,-73.9848175,40.66067886,13.8
2,1420160096,6,3.1,-73.95146179,40.72489548,-73.95935822,40.69052505,15.8
2,1420160354,1,1.58,-73.91188812,40.74247742,-73.88946533,40.73926926,8.3
2,1420160008,1,2.98,-73.91933441,40.75908661,-73.94954681,40.73279953,17.3
2,1420160136,1,4.24,-73.94120026,40.8416481,-73.92057037,40.88256073,20.74
2,1420159098,2,8.98,-73.92299652,40.69230652,-73.98275757,40.76261139,30.3
2,1420159912,1,4.76,-73.99288177,40.68318558,-73.95349121,40.71612167,18.8
2,1420159819,6,3.92,-73.9741745,40.68627167,-73.92327118,40.69009781,16.3
2,1420160059,1,3.62,-73.80709076,40.69916916,-73.74822998,40.70298386,14.8
2,1420160278,1,1.97,-73.89883423,40.74603653,-73.86475372,40.75190353,10.3
2,1420160126,1,3.62,-73.96419525,40.68567276,-73.9988327,40.71517944,17
2,1420160213,3,3.12,-73.95818329,40.71752167,-73.98600006,40.72715759,16.4
2,1420159019,1,8.58,-73.95575714,40.6583786,-73.99520874,40.76019669,37.4
2,1420160170,1,3.15,-73.99224091,40.68981552,-73.94184875,40.67318344,13.3
2,1420160339,1,2.72,-73.94766998,40.67328262,-73.98996735,40.68979263,12.3
2,1420160160,1,2.38,-73.95690155,40.74801636,-73.92134857,40.75605774,23.8
2,1420160379,1,5.3,-73.95682526,40.6734314,-73.92086029,40.61083984,20.3
2,1420160243,1,10.44,-73.91835785,40.76548767,-73.93669128,40.84710312,33.3
2,1420160376,1,6.49,-73.96234131,40.6445961,-73.88894653,40.67470169,27.8
2,1420160184,2,14.63,-73.95789337,40.72255325,-73.95726776,40.80427551,52.4
